d3mIndex,LRS-name,ID-type,Right-Ascension,Declination,Scale_Factor,Blue_base_1,Blue_base_2,Red_base_1,Red_base_2,blue-band-flux_1,blue-band-flux_2,blue-band-flux_3,blue-band-flux_4,blue-band-flux_5,blue-band-flux_6,blue-band-flux_7,blue-band-flux_8,blue-band-flux_9,blue-band-flux_10,blue-band-flux_11,blue-band-flux_12,blue-band-flux_13,blue-band-flux_14,blue-band-flux_15,blue-band-flux_16,blue-band-flux_17,blue-band-flux_18,blue-band-flux_19,blue-band-flux_20,blue-band-flux_21,blue-band-flux_22,blue-band-flux_23,blue-band-flux_24,blue-band-flux_25,blue-band-flux_26,blue-band-flux_27,blue-band-flux_28,blue-band-flux_29,blue-band-flux_30,blue-band-flux_31,blue-band-flux_32,blue-band-flux_33,blue-band-flux_34,blue-band-flux_35,blue-band-flux_36,blue-band-flux_37,blue-band-flux_38,blue-band-flux_39,blue-band-flux_40,blue-band-flux_41,blue-band-flux_42,blue-band-flux_43,blue-band-flux_44,red-band-flux_1,red-band-flux_2,red-band-flux_3,red-band-flux_4,red-band-flux_5,red-band-flux_6,red-band-flux_7,red-band-flux_8,red-band-flux_9,red-band-flux_10,red-band-flux_11,red-band-flux_12,red-band-flux_13,red-band-flux_14,red-band-flux_15,red-band-flux_16,red-band-flux_17,red-band-flux_18,red-band-flux_19,red-band-flux_20,red-band-flux_21,red-band-flux_22,red-band-flux_23,red-band-flux_24,red-band-flux_25,red-band-flux_26,red-band-flux_27,red-band-flux_28,red-band-flux_29,red-band-flux_30,red-band-flux_31,red-band-flux_32,red-band-flux_33,red-band-flux_34,red-band-flux_35,red-band-flux_36,red-band-flux_37,red-band-flux_38,red-band-flux_39,red-band-flux_40,red-band-flux_41,red-band-flux_42,red-band-flux_43,red-band-flux_44,red-band-flux_45,red-band-flux_46,red-band-flux_47,red-band-flux_48,red-band-flux_49
21,16327-4848,0,16.546,-48.809,5.17e-16,682.0,733.0,363.0,506.0,10327.089,10378.039,10792.1875,10600.708,10457.988,10178.386,9630.784,8843.032,7891.705,6883.5454,6091.215,5427.693,5142.437,4998.75,4924.6963,4728.828,4920.5054,4972.963,5137.981,5193.946,5401.9185,5453.266,5609.05,5660.4194,5702.5176,5895.4604,5915.5337,5948.379,6014.8804,5966.5244,5965.7485,5775.8564,5672.992,5562.0146,5319.933,5253.06,5274.374,5083.3667,4931.8135,4845.2437,4767.961,4752.179,4664.467,4522.2275,5176.128,5422.646,5763.3267,5984.663,5794.254,5587.739,5336.0967,5097.3345,4813.427,4744.269,4648.519,4428.7075,4290.195,4187.7295,4237.3296,4180.2554,4158.0527,4147.516,4059.299,4077.883,4151.0527,4028.1875,3916.9736,3898.6287,3755.019,3720.5176,3704.6204,3635.3916,3597.5293,3530.6963,3474.3403,3282.2673,3166.807,3189.449,3047.364,2944.7578,3055.6707,2900.9104,2840.1602,2885.0195,2730.3386,2638.338,2602.054,2571.596,2584.0903,2495.664,2438.5874,2415.1794,2181.7832
22,14531-5337,0,14.886,-53.627,5.67e-16,797.0,909.0,272.0,318.0,8114.762,8200.981,8249.584,8570.949,9044.436,9200.0625,9320.562,9981.467,10825.894,11069.703,11499.54,11287.284,11127.85,11086.578,10721.137,10226.296,9904.907,9749.424,9577.637,9431.014,8881.041,8602.527,8434.625,7874.6787,7832.4897,7523.9175,6956.5044,6759.82,6304.289,5997.062,5747.661,5495.765,4995.076,4735.6787,4364.4565,4326.26,3901.038,3556.2578,3712.8855,3660.931,3204.3564,3344.6938,3084.182,3229.574,9174.317,8454.951,7474.269,6565.273,5355.9946,4493.5938,3954.188,3525.4065,3285.1553,3075.0981,2751.9773,2710.3713,2659.9966,2507.8628,2473.8762,2558.0374,2564.3093,2591.966,2593.2542,2569.429,2626.0464,2592.2046,2591.0515,2522.0576,2470.6716,2511.0342,2390.5632,2280.159,2310.5103,2152.3804,2078.4568,2049.7834,1902.9993,1854.2429,1838.1696,1671.3115,1695.4708,1551.2521,1479.9275,1545.5841,1489.3568,1497.2264,1332.9465,1260.4089,1288.4094,1370.4528,1335.6373,1185.2197,1071.2515
23,13527-6117,0,13.879,-61.291,3.43e-16,820.0,807.0,511.0,483.0,9433.694,9205.904,9257.55,9371.856,8966.311,8597.743,8159.3096,8209.897,8128.976,7816.893,7424.6714,7078.677,6417.2773,6244.9004,6296.484,6319.299,6558.885,6424.506,6656.8945,6818.3906,7188.44,7287.2617,7128.213,7235.249,7126.5356,7132.8857,7065.262,7050.033,6862.2046,6719.5786,6329.3545,6360.3486,6060.5303,5868.5825,5509.173,5350.0977,5282.4565,5238.4434,4916.0127,4964.4595,4710.859,4645.265,4600.2173,4447.295,6954.4785,6908.132,6877.165,6771.171,6429.885,5976.592,5591.0835,5087.4077,4855.966,4638.889,4346.799,4166.677,3919.7615,3777.6243,3628.2825,3638.1707,3526.8188,3554.1501,3506.4736,3491.6636,3458.3513,3339.759,3283.8274,3200.149,3048.657,3036.8787,2870.9888,2774.953,2822.7415,2779.0876,2495.0247,2535.6035,2572.0667,2467.7754,2227.8665,2190.3433,2154.8699,2184.1155,1954.4602,1925.1366,2142.3765,1924.0088,1718.9928,1735.8835,1764.0712,1555.9609,1676.6038,1610.2626,1435.0168
24,20015+3019,4,20.026,30.323,6.73e-16,459.0,492.0,262.0,276.0,5027.2095,4997.3765,5002.8076,5040.9844,5142.1113,5393.0293,5559.6387,6384.506,7258.474,8504.998,9610.574,10578.978,11422.793,11716.619,11985.284,11562.996,11382.367,11035.614,10837.384,10235.157,10016.808,9602.125,9168.574,8894.868,8635.017,8302.174,7702.5156,7320.6016,7201.737,6891.574,6366.1987,6000.67,5505.512,5471.002,5201.1416,4863.3228,4522.991,4584.154,4398.638,4204.3174,4106.9116,3941.5464,3797.5813,3593.209,9836.958,9166.832,8088.9434,7231.3237,6122.0044,5294.6216,4696.3145,4241.499,3985.551,3599.9797,3311.3293,3109.5308,3019.7544,2805.387,2803.728,2842.3508,2780.2937,2815.1543,2811.005,2897.48,2878.239,2826.2808,2735.311,2728.6719,2650.2976,2466.2073,2526.2864,2405.1335,2373.3447,2099.9111,2149.9377,2055.2305,1941.6481,1918.6873,1781.1985,1653.7816,1614.4688,1709.8275,1510.6804,1428.5844,1493.7456,1329.8469,1300.6195,1349.4271,1232.1036,1093.3866,1191.2861,1143.1919,980.5685
25,18213+0335,4,18.356,3.595,3.99e-16,715.0,838.0,667.0,638.0,8720.238,8807.047,9231.675,8554.069,8705.494,9500.272,9666.476,10293.274,10934.762,11709.354,12519.091,13150.523,13485.23,13270.285,13064.162,12553.99,12059.946,11545.477,11033.971,10066.368,10038.853,9520.147,9084.812,8513.542,7771.2563,7615.2505,7405.1816,6796.024,6404.7246,6294.1533,5495.0176,5102.335,4956.751,4416.4575,4291.3857,4049.3794,3911.1938,3672.1543,3513.5415,3549.394,3422.9846,3357.9973,3180.4556,3108.194,8927.502,8446.394,7675.7686,6652.1787,5423.8745,4651.671,3853.1213,3478.5142,2962.0688,2778.9285,2487.5781,2440.3555,2203.0552,2129.4766,1975.4708,2091.9128,1880.856,1775.0453,1816.8794,1797.2959,1722.1442,1829.7264,1684.3741,1679.3597,1626.0886,1653.2153,1411.328,1638.7249,1576.6406,1282.0924,1331.1,1365.4791,1249.2657,1131.5825,1310.6726,1052.624,1073.8055,1168.0787,1022.5803,998.4197,997.6439,821.42456,716.8358,831.53735,1045.6476,689.58093,867.1303,744.969,687.12946
26,21377+5042,0,21.63,50.714,4.69e-16,576.0,641.0,310.0,379.0,14229.924,14761.415,14693.374,14327.164,13355.135,13036.114,12081.441,11585.136,10566.19,10203.378,9507.841,9156.08,8609.719,8449.511,8083.7114,7529.5845,7785.4014,7421.2456,7429.1094,6989.6597,7137.2617,7190.708,7030.7075,6878.5723,6624.4326,6310.664,6208.8096,5956.2896,6030.261,5677.3164,5633.5986,5545.9463,5233.8535,5083.444,4896.945,4905.0903,4748.439,4571.395,4432.0327,4369.593,4222.4053,4095.6323,3855.8586,4093.2546,7098.744,6815.921,6333.8755,6063.8335,5619.664,5172.444,4679.7866,4279.8125,3980.3613,3803.4048,3618.6616,3361.7737,3192.836,2939.1904,2856.6787,2738.1116,2635.2817,2494.823,2492.5269,2385.1042,2208.6533,2193.905,2163.4922,2107.9966,1959.9231,1833.8523,1904.0087,1788.9778,1670.8331,1535.4467,1561.7522,1492.3339,1402.5336,1430.4739,1384.6627,1367.124,1246.0105,1170.4341,1035.2311,1165.3081,1163.5549,1136.7048,1053.3646,1094.0392,1122.1718,1012.19403,916.3568,919.41876,862.8489
27,15361+2441,4,15.602,24.685,6.66e-16,439.0,614.0,244.0,250.0,24219.484,22468.756,20456.078,18084.703,16894.734,15791.526,14464.487,14048.975,13045.583,12268.915,11581.49,11110.587,10438.711,10006.259,9232.807,8889.681,8676.499,8160.484,7705.664,7457.143,7453.095,7052.0093,6533.913,6731.2227,6136.917,5825.2485,5607.845,5283.5996,5285.258,5024.783,4761.828,4511.661,4472.8433,4306.803,4102.6284,3934.1526,3915.9204,3773.0056,3520.673,3390.587,3342.0068,3257.833,3104.971,2835.0535,7613.2124,6757.386,6186.6904,5290.1655,4564.214,4258.3086,3817.4944,3402.1484,3271.9255,2635.1255,2443.8245,2255.0774,2107.068,2256.9082,1732.155,1963.4694,1650.0183,1306.0251,1438.0756,1323.2023,1200.6968,1124.018,1222.9941,873.9385,1003.4709,982.8134,936.703,720.0372,656.1145,744.9347,879.58,665.47314,479.37167,784.5854,654.49414,616.0493,493.60052,539.1679,353.08273,500.48138,561.32996,449.07608,484.4726,486.77783,473.81122,427.75314,394.42532,328.00592,523.7913
28,18333+0533,3,18.555,5.556,8.96e-16,452.0,497.0,167.0,263.0,8902.23,8824.375,9203.542,9454.984,9673.211,9898.732,9869.809,9741.198,9468.235,9185.941,8596.23,8062.6196,7682.7397,7404.658,7082.967,6962.781,6903.885,6839.806,6732.1167,6704.411,6833.5474,6710.307,6688.8613,6546.943,6642.8784,6538.3667,6438.017,6343.9077,6291.349,5978.1035,5771.843,5596.7476,5329.22,5064.8164,4838.8457,4679.3535,4512.5967,4312.609,4157.287,4125.5674,3869.5095,3865.8416,3738.5828,3773.3535,6618.7505,6345.5474,6482.709,6155.7046,5655.339,5092.7393,4661.0806,4414.3667,4065.9314,4024.9895,3803.382,3657.6472,3507.8064,3561.5828,3560.3545,3625.6404,3696.1575,3657.6572,3628.5393,3749.017,3676.3423,3543.4583,3606.9033,3465.7676,3450.332,3399.609,3258.5503,3235.919,3241.3535,3082.7075,2944.855,2962.8164,2749.1858,2655.0151,2634.6057,2515.5447,2583.4539,2472.7368,2332.9548,2420.6472,2360.87,2186.8599,2134.3833,2179.5518,2112.5627,2065.3213,2037.8264,1992.6882,1889.3988
29,18464-0656,3,18.775,-6.943,3.15e-16,1140.0,1290.0,607.0,613.0,9400.551,9956.075,10646.626,10652.776,10901.626,10510.623,10361.067,9872.432,9576.962,9223.383,8853.771,8763.961,8625.934,8081.963,7936.6123,7705.9,7648.5264,7687.742,7650.257,7429.6206,7410.7803,7127.089,7041.4814,7274.0186,6771.3413,7166.0938,6644.9097,6346.56,6225.2397,6326.7524,6410.9624,6335.5225,5651.1123,5633.8984,5537.486,5157.6445,5228.38,5210.0176,4609.911,4824.2954,5027.559,4693.6387,4438.9556,4373.674,6757.9414,6981.7466,7000.086,6700.32,5850.9795,5645.2983,5391.349,4746.2617,4681.7046,4452.525,4085.9553,4058.5444,3865.2732,3576.695,3606.2332,3346.1306,3124.4026,2824.6963,3004.019,2735.263,2660.8425,2408.1821,2307.7727,2401.6992,2204.7458,2116.7205,2152.476,2029.796,1939.3003,1806.7211,1754.6002,1698.7675,1739.4843,1448.4734,1610.4968,1390.0431,1547.1178,1591.5547,1394.6229,1317.7583,1447.6066,1488.3347,1563.7222,1245.492,1249.0895,1404.9368,1208.0135,1235.1321,1247.398
30,19240+3615,3,19.401,36.257,3.98e-16,746.0,639.0,557.0,542.0,6539.0684,6700.5356,6656.065,6855.739,7267.5996,7882.698,8511.804,9112.726,9792.869,10525.389,11191.374,11895.677,11849.378,11618.919,11587.888,11281.916,11250.817,10653.252,10091.457,9918.338,9796.334,9166.688,8847.723,8326.71,8062.6763,7735.968,7202.0986,6838.263,6585.6514,5958.3784,5571.4688,5473.511,4788.6426,4723.893,4450.711,4213.3125,3936.26,3683.4856,3503.5793,3500.1074,3559.2747,3129.9905,3224.932,3193.2744,9280.758,8571.725,7663.203,6642.143,5431.8286,4555.2207,3941.9976,3294.2378,3008.3188,2892.4465,2744.598,2575.0022,2461.657,2637.2742,2466.3733,2544.7976,2634.7224,2646.6436,2589.5117,2794.4932,2745.0205,2769.7026,2721.497,2729.546,2726.0818,2553.8333,2529.9014,2517.4727,2251.87,2222.8105,2198.861,2125.0415,1993.6791,1844.4122,1872.8721,1806.7094,1810.8683,1644.9656,1599.251,1576.5492,1740.5247,1490.2201,1510.9829,1328.4402,1355.5908,1300.9063,1471.2585,1286.1484,1241.6855
31,17505-3143,3,17.842,-31.731,3.76e-16,870.0,965.0,467.0,483.0,13905.906,13562.201,14345.741,14133.047,13947.227,13263.319,12150.681,10683.403,9293.428,7094.7896,5980.7944,5136.4194,4511.216,4311.6963,4077.5354,4005.7854,3912.0037,4057.876,3962.5852,3982.4087,4350.657,4294.8696,4565.4375,4452.9536,4583.271,4655.2837,4528.6895,5185.614,5426.3765,5438.5786,5578.494,5748.3823,5346.041,5795.0005,5544.035,5349.8413,5720.0327,5259.455,5252.909,5266.8755,5471.607,5419.393,4957.3174,4990.2617,4211.3765,4163.283,4676.4326,5232.171,5598.7583,5787.228,5606.8286,5491.081,4927.6387,5032.6245,5112.402,4426.039,4278.8335,4439.0464,4443.2026,4262.9253,3977.0352,3801.5059,4050.0498,4051.1003,3542.9666,3783.652,3567.1763,3175.7212,3288.7363,3196.82,3207.3784,3314.1067,3219.0557,3078.293,2866.5957,3003.298,3081.6775,2821.1252,2615.7537,2697.2996,2558.1477,2751.6301,2560.4644,2407.1365,2534.4204,2155.669,2473.7102,2476.466,2326.3103,2269.1682,2193.1118,2526.935,2238.0645
32,17139-3746,0,17.233,-37.771,3.29e-16,2638.0,2581.0,1631.0,1611.0,8140.412,7158.433,7994.4434,7435.921,6935.998,7297.809,7503.1914,7860.0386,8679.507,9176.386,10272.73,11000.879,11333.135,11505.714,11969.872,12041.401,11715.415,11451.311,10546.963,10085.7,9712.39,9440.0625,9081.376,8354.505,8262.952,8208.854,7319.0273,7121.54,6617.775,6573.3926,5984.8877,5759.653,5099.4434,4504.3853,4184.629,4490.422,3950.7188,3748.2205,3615.7634,3880.7874,3368.7366,3384.4941,3121.6716,3065.732,9499.841,8547.867,7589.3438,6941.94,5453.907,4990.5313,4198.06,3731.3787,3412.9226,3032.5415,3266.3013,2667.59,2757.9587,2737.5356,2593.289,2515.8208,2726.685,2761.5974,2822.5637,2850.9375,3069.902,2806.652,2665.5728,2834.0076,2689.6523,2572.9827,2467.7087,2269.5696,2094.23,2181.1636,2013.9551,1828.8206,1679.5186,1919.5581,1547.0614,1515.0343,1746.9106,1525.9004,1438.4681,951.90906,1312.4606,1410.7272,1245.0797,924.66614,1058.7582,865.4029,934.3234,680.6842,694.2082
33,17389-5742,4,17.65,-57.701,5.34e-16,458.0,468.0,336.0,318.0,15024.424,15270.293,15348.812,14650.077,14469.528,14280.936,13490.499,13289.048,12645.0625,11653.489,10756.866,10312.443,10106.191,9349.586,9078.974,8726.295,8166.029,8275.209,8418.185,8654.501,8744.381,8808.515,8607.128,8999.553,8584.144,8099.5396,7803.22,7420.004,7011.0425,6676.108,6027.375,5628.075,5178.8916,4937.3022,4335.245,3976.185,3770.0044,3439.914,3298.1062,3272.165,2943.6895,2927.4072,2878.942,2735.5332,7859.521,8294.934,7914.4316,7252.2847,5993.0854,4877.084,3814.1655,3515.6138,2821.172,2519.3657,2307.6606,1935.0165,2106.28,2021.6614,1761.6238,1796.0641,1709.8005,1567.2028,1463.2164,1365.6572,1377.517,1323.3892,1229.0219,1094.4156,1188.3129,1073.0021,1125.0448,882.5903,801.0525,1073.5402,874.51587,831.5815,788.64087,710.2918,712.39905,737.03046,861.4292,783.05945,654.79846,574.81,720.1101,698.0453,584.2497,538.0379,709.0688,571.12256,552.2559,488.327,477.4993
34,13283-5839,0,13.472,-58.663,2.68e-16,1177.0,1221.0,648.0,686.0,9426.43,9604.415,10042.979,10838.773,11438.49,11480.729,11329.686,11373.374,11953.584,12330.703,11426.134,11647.806,11369.421,10680.627,10448.502,10398.492,10176.203,10098.209,9188.168,8774.015,9225.553,8927.688,8716.684,8035.0303,7957.1216,7429.5747,6998.691,6640.6577,5868.0044,5605.242,5112.7617,4695.9316,4245.4917,4012.179,4031.0134,4056.8594,3707.3057,3668.731,3424.2485,3160.1628,3130.0127,3073.2542,3089.342,2864.503,9065.16,8272.036,7180.604,6426.811,5178.593,4244.192,3601.192,2984.8445,3021.2913,2729.9893,2543.7751,2518.6782,2459.9885,2331.2852,2175.99,2300.8718,2302.5063,2354.5886,2289.0244,2222.078,2201.3735,2289.946,2109.5854,1953.0532,2148.1292,2267.5776,2137.701,2049.8604,2202.9656,2078.7292,1904.0762,2001.1841,1652.8569,1623.9165,1552.9624,1494.6251,1436.2972,1390.5852,1328.0731,1344.0126,1011.1674,1161.5975,1178.9619,1295.7891,1021.80756,906.12085,1172.8524,1193.0546,984.937
35,15569-6135,0,15.949,-61.586,1.57e-16,2136.0,2165.0,848.0,875.0,6212.127,6740.0845,6497.8213,6803.7056,7732.8413,7853.3994,8496.53,8909.564,10417.262,11311.336,11935.358,12527.435,12542.64,12335.731,11567.932,11615.134,11272.431,9748.797,9917.483,9760.182,10096.679,9373.694,8724.2295,8424.738,8245.109,7590.874,7535.906,7399.445,6577.4395,5913.645,5738.8525,4995.17,4729.3027,4520.9707,4274.291,3811.8848,3876.8308,4178.2905,3383.5112,3437.2874,3468.6958,4176.073,3619.4187,2877.3987,10198.562,8348.281,7680.5845,6440.8384,5202.7285,4392.925,4262.314,3872.853,3221.3435,3404.0288,3091.3508,3008.8113,2549.1584,2516.1987,2607.903,2875.4087,2607.5925,2531.5557,2281.3494,2331.5862,2910.7825,2532.7756,2373.711,2141.1494,2287.3308,2738.7458,2133.8784,1989.2517,2106.7112,2131.4946,1729.615,1650.5447,1534.7292,1834.4078,1709.0201,1936.8033,1370.3766,1102.7877,1631.0216,1834.8634,1771.8422,866.66925,1228.735,1237.6439,1318.47,862.3659,1154.1425,1163.0746,1124.0712
36,16478-4322,2,16.798,-43.377,4.97e-16,825.0,767.0,426.0,406.0,15295.466,15177.681,15098.123,15096.745,14582.653,13630.754,12767.032,12700.567,11625.379,10701.625,9904.342,10015.844,9551.4,8837.254,8675.696,8487.481,8771.959,8583.698,8260.591,8391.87,8283.442,8101.758,7798.546,8054.5884,7633.1626,7587.8975,7184.749,6670.0635,6231.9316,6319.7666,6033.074,5666.4736,5276.557,4786.7573,4310.2627,4163.3257,4024.701,3781.2007,3624.244,3610.4229,3277.008,3303.1152,3224.349,3155.5603,8058.593,7525.3438,7509.718,6844.906,5785.5767,4786.1416,3988.087,3457.9922,2994.4565,2905.4126,2678.1968,2562.4849,2699.7605,2414.2378,2213.5903,2389.1055,1960.395,2006.0536,1881.922,1719.4957,1631.9612,1764.1301,1619.9825,1683.888,1571.3475,1323.9742,1336.2545,1371.8297,1420.713,1296.4812,1057.3921,1069.6353,835.5258,987.5738,1043.0746,975.3965,861.1066,906.603,933.78406,654.6924,750.10767,565.88214,764.48627,701.7594,817.1292,677.82623,706.63324,484.0967,546.1853
37,17103-3551,2,17.172,-35.865,3.58e-16,990.0,1153.0,568.0,552.0,16309.793,15728.656,15944.427,14585.073,13766.12,12874.544,12430.573,12001.275,10942.705,10368.104,10157.405,9710.326,9268.795,8963.777,9464.671,8470.392,8363.878,8653.98,8345.687,8779.625,8822.531,8447.117,8915.795,8787.878,7865.0996,7553.564,7267.545,6728.73,6355.487,5793.1113,5871.078,5647.1255,5030.3013,5041.084,4211.5063,4247.829,3663.894,3565.6775,3480.2246,3242.009,3391.278,3296.8264,3095.0813,3078.9077,7804.6826,7936.576,7637.326,6655.9097,5943.684,4529.288,4117.1577,3634.0642,3385.6077,2907.9353,2783.1392,2782.0222,2389.7986,2415.9392,2107.365,1873.3589,1743.0267,1590.855,1749.728,1690.307,1918.284,1595.085,1426.4951,1316.1062,1547.688,1300.8562,1143.1499,1010.9031,1240.6371,1359.4037,1152.5573,992.9996,1093.5577,1043.1306,921.75574,849.4895,875.446,983.2541,841.84955,813.22064,1148.3939,945.1288,694.5645,700.4798,657.2771,906.9349,918.2955,682.2636,713.62616
38,17398-4344,2,17.664,-43.746,2.38e-16,1319.0,1253.0,553.0,563.0,13635.762,12513.85,12200.868,11335.96,10301.678,9571.502,9247.347,8849.463,8771.371,9050.703,8691.903,9096.594,9200.233,9076.512,9394.883,9161.36,9130.058,8380.677,8093.7754,7982.4453,8136.055,7628.0283,7732.995,7609.044,7635.582,7517.8657,6624.067,6774.411,6468.51,6217.465,5825.3022,5785.8823,5522.2524,5623.9077,4878.9346,5430.5254,4956.758,4815.3525,4637.8774,4985.6055,4916.286,4812.4644,4522.063,4474.661,8506.575,8250.525,6357.699,6451.303,5823.7295,5646.1294,5020.1484,4750.0703,3950.083,3883.84,3474.2554,3161.8835,2949.859,2827.2063,2679.476,2748.1099,2261.7454,2206.534,2341.0334,2483.377,2222.7983,1971.632,2178.2698,1967.8751,1660.2808,1884.1775,2147.2732,1850.6652,1615.2052,1693.3104,1385.7379,1631.6051,1885.3147,1674.956,1384.6417,1398.4852,1236.7369,1170.6277,1314.6074,1187.3589,1027.1884,1106.8954,1094.1039,1197.3324,849.03424,884.85126,760.754,878.10126,747.7366
39,17443-2519,3,17.74,-25.321,2.26e-16,1171.0,1143.0,1010.0,1103.0,8800.883,9979.154,10857.268,11716.347,12002.295,11245.214,10625.284,10832.414,10048.127,9425.4375,8403.458,7984.4575,7227.282,6877.521,7118.5176,6919.485,6213.876,6460.277,6581.726,6781.9355,6582.8594,6526.375,6492.971,6454.128,6970.735,6626.309,6296.816,6632.7793,6817.989,5964.257,6282.5483,5966.6074,5445.591,5924.1206,5234.692,5017.872,5186.7446,5138.319,4818.2715,4792.9243,4127.9146,4044.162,3857.1917,3556.1375,5417.7935,6022.212,6314.4077,6241.4033,6294.815,5878.4336,5443.1323,4934.5845,4306.604,4330.582,4093.8782,4151.9463,3537.8223,3491.4377,3385.3523,3256.2322,3468.0403,3510.1355,2966.9395,3192.4636,3109.7422,3122.1252,3172.5715,2940.5723,3065.7832,2698.0415,2543.5503,2888.8657,2609.4907,2518.9175,2386.2705,2419.3354,2320.6924,2182.689,1478.3866,2119.9705,1718.5667,2149.6914,1973.7728,1591.4446,1874.5983,2065.4214,1899.0864,1534.489,1584.1255,1389.324,1525.9119,1538.9303,1479.9852
40,18397+1738,4,18.662,17.636,3.47e-15,72.0,89.0,88.0,67.0,14709.543,15028.586,14922.026,14551.932,13845.6,13543.689,12590.491,12246.192,11541.417,10880.575,10350.001,9796.717,9381.272,9020.363,8647.343,8366.723,8172.4453,8162.96,8200.434,8306.072,8260.252,8400.737,8230.727,8166.7446,7854.3657,7641.9575,7249.31,7052.057,6650.33,6447.026,6060.4536,5739.014,5300.9507,4921.9614,4533.887,4230.637,4027.3562,3774.0955,3573.8494,3478.1174,3365.7273,3256.3687,3192.4521,3139.1406,7969.583,7911.52,7512.6274,6769.878,5908.9575,4958.647,4162.8066,3625.9482,3272.3418,2953.5532,2816.5042,2693.0703,2495.4033,2405.2612,2227.256,2152.2332,2037.8177,1920.3606,1815.0098,1761.1458,1692.1254,1607.9489,1558.5999,1488.0367,1402.3187,1339.312,1317.1931,1242.0538,1241.1248,1173.5442,1102.9277,1103.4932,1066.1857,1056.136,973.3773,948.16956,960.82227,931.05945,864.9396,860.9155,876.57684,798.32513,810.9477,796.3019,760.4467,754.88007,743.2507,731.6172,615.4692
41,19548+3035,3,19.914,30.598,2.91e-16,1141.0,1151.0,445.0,605.0,7433.916,7174.3315,7944.4917,8601.969,8489.089,8499.587,8234.198,8553.628,7835.5483,7655.6577,7493.2573,7617.4375,7318.0674,6925.4404,7153.5747,7154.391,6893.89,6725.678,6731.3594,6659.3267,6622.267,6695.9556,6431.5806,6049.6616,6158.328,6371.912,6001.6553,6094.783,6091.739,6450.0757,6070.1104,6236.103,6022.2583,6228.082,5611.088,5733.37,5837.1953,5442.6665,5617.41,5372.488,5317.9707,5251.7974,5435.288,4927.1055,6946.235,6354.55,6267.2173,6220.8403,5968.6553,5998.32,5697.8066,5325.515,4948.4653,4878.489,4888.2583,4577.5303,4473.7974,4420.653,4370.49,4176.6177,4043.0347,3948.369,3643.9233,3605.7087,3562.6865,3409.9375,3133.8596,3146.3477,3091.8464,2943.155,2855.7026,2633.2566,2745.0266,2666.4258,2565.5144,2474.349,2458.0183,2387.3154,2387.5574,2249.8809,2312.351,2298.1033,2144.964,2153.11,2198.1953,2066.4998,1906.6552,2179.1294,1978.528,1872.1786,1963.0543,1808.1727,1488.1631
42,18551+1345,0,18.919,13.751,2.91e-16,1258.0,1231.0,613.0,664.0,12936.868,13386.479,13395.112,13566.75,13586.21,12672.502,11862.805,11747.129,10912.557,10304.657,9473.161,8627.679,8789.857,8501.753,8826.936,7410.029,7373.423,7718.7603,6885.6226,7105.176,6995.558,6830.036,6709.533,6624.7344,6488.6885,6273.452,5668.4927,6361.5444,6574.8213,5563.0464,5563.5957,5281.5566,5285.2007,5526.395,5166.7075,5168.782,4708.162,5262.9727,4563.234,4628.9487,4356.18,4688.944,4363.3765,3851.4866,7093.5225,6637.637,6344.866,6143.7803,5588.7603,5173.545,4955.5757,4507.8696,4839.6465,4162.2456,3775.235,3627.3757,3453.1597,3398.5352,2983.729,2929.1719,2956.9358,2705.2522,2624.388,2267.1782,2164.629,2240.6594,2169.211,1872.6495,1886.6406,1849.4147,1955.0522,1545.2275,1702.1406,1557.8557,1702.3817,1463.4177,1348.6829,1423.3868,1314.8922,1180.0164,1219.0522,1284.4967,1331.3229,1148.3682,1164.1655,1024.7096,997.0564,857.62366,859.49335,987.13904,1226.5863,916.4037,849.99774
43,19396+1637,3,19.661,16.626,5.29e-16,524.0,584.0,308.0,402.0,6868.1255,6975.945,6959.384,7317.499,7490.3667,7870.1997,8374.492,8878.818,9718.586,10496.168,11153.408,12129.855,12722.227,12773.64,12547.818,12281.442,12140.867,11587.808,10733.168,10520.967,10242.512,9536.693,9263.679,8663.383,8152.3647,7759.0234,7287.253,6966.9717,6395.1436,6062.715,5719.4775,5318.095,4900.494,4791.2656,4302.004,4095.4182,3754.9478,3526.7415,3428.38,3293.512,3243.857,2969.702,2891.662,2900.188,9691.827,8762.712,7836.4404,6765.5815,5473.033,4440.2627,3748.408,3282.5037,2881.5981,2684.9915,2554.7268,2486.7422,2310.6228,2268.4568,2281.7964,2420.9683,2510.148,2596.6711,2616.9675,2557.5125,2631.9912,2607.7793,2488.9324,2481.0232,2424.4597,2336.8223,2291.142,2214.3865,2109.2588,1952.7655,1957.2421,1817.0309,1779.6338,1659.76,1627.82,1430.9023,1591.0574,1475.3317,1365.0376,1327.7961,1271.6396,1295.2981,1155.3271,1277.7524,1129.7029,1056.0562,1112.2623,1060.2881,893.36993
