d3mIndex,class
1686,GRASS
1687,GRASS
1688,GRASS
1689,GRASS
1690,GRASS
1691,GRASS
1692,GRASS
1693,GRASS
1694,GRASS
1695,GRASS
1696,GRASS
1697,GRASS
1698,GRASS
1699,GRASS
1700,PATH
1701,PATH
1702,PATH
1703,PATH
1704,PATH
1705,PATH
1706,PATH
1707,PATH
1708,PATH
1709,PATH
1710,PATH
1711,PATH
1712,PATH
1713,PATH
1714,PATH
1715,PATH
1716,PATH
1717,PATH
1718,PATH
1719,PATH
1720,PATH
1721,PATH
1722,PATH
1723,PATH
1724,PATH
1725,PATH
1726,PATH
1727,PATH
1728,PATH
1729,PATH
1730,WINDOW
1731,WINDOW
1732,WINDOW
1733,WINDOW
1734,WINDOW
1735,WINDOW
1736,WINDOW
1737,WINDOW
1738,WINDOW
1739,WINDOW
1740,WINDOW
1741,WINDOW
1742,WINDOW
1743,WINDOW
1744,WINDOW
1745,WINDOW
1746,WINDOW
1747,WINDOW
1748,WINDOW
1749,WINDOW
1750,WINDOW
1751,WINDOW
1752,WINDOW
1753,WINDOW
1754,WINDOW
1755,WINDOW
1756,WINDOW
1757,WINDOW
1758,WINDOW
1759,WINDOW
1760,WINDOW
1761,WINDOW
1762,CEMENT
1763,CEMENT
1764,CEMENT
1765,CEMENT
1766,CEMENT
1767,CEMENT
1768,CEMENT
1769,CEMENT
1770,CEMENT
1771,CEMENT
1772,CEMENT
1773,CEMENT
1774,BRICKFACE
1775,BRICKFACE
1776,BRICKFACE
1777,BRICKFACE
1778,BRICKFACE
1779,BRICKFACE
1780,BRICKFACE
1781,BRICKFACE
1782,BRICKFACE
1783,BRICKFACE
1784,BRICKFACE
1785,BRICKFACE
1786,BRICKFACE
1787,BRICKFACE
1788,BRICKFACE
1789,BRICKFACE
1790,BRICKFACE
1791,BRICKFACE
1792,BRICKFACE
1793,BRICKFACE
1794,BRICKFACE
1795,BRICKFACE
1796,BRICKFACE
1797,BRICKFACE
1798,BRICKFACE
1799,BRICKFACE
1800,BRICKFACE
1801,BRICKFACE
1802,BRICKFACE
1803,BRICKFACE
1804,BRICKFACE
1805,BRICKFACE
1806,BRICKFACE
1807,BRICKFACE
1808,BRICKFACE
1809,BRICKFACE
1810,BRICKFACE
1811,BRICKFACE
1812,BRICKFACE
1813,BRICKFACE
1814,BRICKFACE
1815,BRICKFACE
1816,BRICKFACE
1817,BRICKFACE
1818,BRICKFACE
1819,BRICKFACE
1820,BRICKFACE
1821,BRICKFACE
1822,BRICKFACE
1823,BRICKFACE
1824,BRICKFACE
1825,BRICKFACE
1826,BRICKFACE
1827,BRICKFACE
1828,BRICKFACE
1829,BRICKFACE
1830,BRICKFACE
1831,BRICKFACE
1832,BRICKFACE
1833,BRICKFACE
1834,BRICKFACE
1835,BRICKFACE
1836,BRICKFACE
1837,BRICKFACE
1838,BRICKFACE
1839,BRICKFACE
1840,BRICKFACE
1841,BRICKFACE
1842,BRICKFACE
1843,BRICKFACE
1844,BRICKFACE
1845,BRICKFACE
1846,BRICKFACE
1847,BRICKFACE
1848,BRICKFACE
1849,BRICKFACE
1850,BRICKFACE
1851,BRICKFACE
1852,BRICKFACE
1853,BRICKFACE
1854,BRICKFACE
1855,BRICKFACE
1856,BRICKFACE
1857,BRICKFACE
1858,BRICKFACE
1859,BRICKFACE
1860,BRICKFACE
1861,BRICKFACE
1862,BRICKFACE
1863,BRICKFACE
1864,BRICKFACE
1865,BRICKFACE
1866,BRICKFACE
1867,BRICKFACE
1868,BRICKFACE
1869,BRICKFACE
1870,BRICKFACE
1871,BRICKFACE
1872,BRICKFACE
1873,BRICKFACE
1874,BRICKFACE
1875,BRICKFACE
1876,BRICKFACE
1877,BRICKFACE
1878,BRICKFACE
1879,BRICKFACE
1880,BRICKFACE
1881,BRICKFACE
1882,BRICKFACE
1883,BRICKFACE
1884,BRICKFACE
1885,BRICKFACE
1886,BRICKFACE
1887,BRICKFACE
1888,BRICKFACE
1889,BRICKFACE
1890,BRICKFACE
1891,BRICKFACE
1892,BRICKFACE
1893,BRICKFACE
1894,BRICKFACE
1895,BRICKFACE
1896,BRICKFACE
1897,BRICKFACE
1898,BRICKFACE
1899,BRICKFACE
1900,BRICKFACE
1901,BRICKFACE
1902,BRICKFACE
1903,BRICKFACE
1904,SKY
1905,SKY
1906,SKY
1907,SKY
1908,SKY
1909,SKY
1910,SKY
1911,SKY
1912,SKY
1913,SKY
1914,SKY
1915,SKY
1916,SKY
1917,SKY
1918,SKY
1919,SKY
1920,SKY
1921,SKY
1922,SKY
1923,SKY
1924,SKY
1925,SKY
1926,SKY
1927,SKY
1928,SKY
1929,SKY
1930,SKY
1931,SKY
1932,SKY
1933,SKY
1934,SKY
1935,SKY
1936,SKY
1937,SKY
1938,SKY
1939,SKY
1940,SKY
1941,SKY
1942,SKY
1943,SKY
1944,SKY
1945,SKY
1946,SKY
1947,SKY
1948,SKY
1949,SKY
1950,SKY
1951,SKY
1952,SKY
1953,SKY
1954,SKY
1955,SKY
1956,SKY
1957,SKY
1958,SKY
1959,SKY
1960,SKY
1961,SKY
1962,SKY
1963,SKY
1964,SKY
1965,SKY
1966,SKY
1967,SKY
1968,SKY
1969,SKY
1970,SKY
1971,SKY
1972,SKY
1973,SKY
1974,SKY
1975,SKY
1976,SKY
1977,SKY
1978,SKY
1979,SKY
1980,SKY
1981,SKY
1982,SKY
1983,SKY
1984,GRASS
1985,GRASS
1986,GRASS
1987,GRASS
1988,GRASS
1989,GRASS
1990,GRASS
1991,GRASS
1992,GRASS
1993,GRASS
1994,GRASS
1995,GRASS
1996,GRASS
1997,GRASS
1998,GRASS
1999,GRASS
2000,GRASS
2001,GRASS
2002,GRASS
2003,GRASS
2004,GRASS
2005,GRASS
2006,GRASS
2007,GRASS
2008,GRASS
2009,GRASS
2010,GRASS
2011,GRASS
2012,GRASS
2013,GRASS
2014,GRASS
2015,GRASS
2016,GRASS
2017,GRASS
2018,GRASS
2019,GRASS
2020,GRASS
2021,GRASS
2022,GRASS
2023,GRASS
2024,GRASS
2025,GRASS
2026,GRASS
2027,GRASS
2028,GRASS
2029,GRASS
2030,PATH
2031,PATH
2032,PATH
2033,PATH
2034,PATH
2035,PATH
2036,PATH
2037,PATH
2038,PATH
2039,PATH
2040,PATH
2041,PATH
2042,PATH
2043,PATH
2044,PATH
2045,PATH
2046,PATH
2047,PATH
2048,PATH
2049,PATH
2050,PATH
2051,PATH
2052,PATH
2053,PATH
2054,PATH
2055,PATH
2056,PATH
2057,PATH
2058,PATH
2059,PATH
2060,PATH
2061,PATH
2062,PATH
2063,PATH
2064,PATH
2065,PATH
2066,PATH
2067,PATH
2068,PATH
2069,PATH
2070,PATH
2071,PATH
2072,WINDOW
2073,WINDOW
2074,WINDOW
2075,WINDOW
2076,WINDOW
2077,WINDOW
2078,WINDOW
2079,WINDOW
2080,WINDOW
2081,WINDOW
2082,WINDOW
2083,WINDOW
2084,WINDOW
2085,WINDOW
2086,WINDOW
2087,WINDOW
2088,WINDOW
2089,WINDOW
2090,WINDOW
2091,WINDOW
2092,WINDOW
2093,CEMENT
2094,CEMENT
2095,CEMENT
2096,CEMENT
2097,CEMENT
2098,CEMENT
2099,CEMENT
